address,lattitude,longitude
"971 Minna St",37.774318,-122.416078
"2015 Steiner St",37.787865,-122.435401
"2323 Sacramento St",37.789942,-122.430967
"2349 Sacramento St",37.789898,-122.431317
"2085 03rd St",37.763284,-122.388246
"101 Phelan Ave",37.725635,-122.453036
"1125 Valencia St",37.754791,-122.420471
"45 Gough St",37.772321,-122.421278
"50 Science Cir",37.725677,-122.450833
"750 Eddy St",37.783151,-122.419864
"138 05th St",37.781832,-122.405576
"174 05th St",37.781621,-122.405302
"3850 17th St",37.762817,-122.431796
"1800 Hayes St",37.774038,-122.446352
"1860 Hayes St",37.773959,-122.44709
"398 Jefferson St",37.808045,-122.418807
"599 Cambridge St",37.724152,-122.417022
"115 08th St",37.77703,-122.413038
"200 Paul Ave",37.723039,-122.397471
"100 Potrero Ave",37.767745,-122.40888
"201 08th St",37.776276,-122.411179
"101 Market St",37.793506,-122.39528
"1160 Bay St",37.804562,-122.42605
"985 North Point St",37.805081,-122.423071
"33 New Montgomery St",37.788451,-122.401239
"645 14th Ave",37.775927,-122.472579
"2290 14th Ave",37.745429,-122.469938
"1 Welsh St",37.779806,-122.396057
"821 02nd St",37.779815,-122.38879
"1717 44th Ave",37.754435,-122.503432
"333 Main St",37.789021,-122.390928
"4398 Mission St",37.727285,-122.432905
"1835 Ellis St",37.781608,-122.436198
"401 Newhall St",37.741717,-122.386212
"2130 Ofarrell St",37.782519,-122.439953
"2350 Geary Blvd",37.783215,-122.44182
"759 Stanyan St",37.767969,-122.454502
"825 Brotherhood Way",37.714226,-122.47691
"128 Delbrook Ave",37.749142,-122.454234
"173 Woodside Ave",37.746627,-122.455626
"181 Woodside Ave",37.746598,-122.455503
"185 Woodside Ave",37.746583,-122.455441
"281 Laguna Honda Blvd",37.749616,-122.459782
"321 Florida St",37.764936,-122.410946
"3251 18th St",37.761571,-122.416201
"1101 Eucalyptus Dr",37.730819,-122.483418
"1201 Ortega St",37.752119,-122.476201
"1268 Missouri St",37.7504,-122.395438
"200 Bacon St",37.727496,-122.404584
"3250 19th Ave",37.729387,-122.474217
"1849 Harrison St",37.767634,-122.412831
"1001 Minnesota St",37.757507,-122.390459
"949 Presidio Ave",37.782636,-122.446318
"1210 15th St",37.766382,-122.412549
"616 Hemlock St",37.786385,-122.428228
"602 Potrero Ave",37.761729,-122.407303
"1 Mendell St",37.743143,-122.383019
"10 Clyde St",37.77854,-122.394158
"10 Silliman St",37.731341,-122.405143
"1002 Bryant St",37.772554,-122.40705
"101 10th St",37.775227,-122.41536
"1010 03rd St",37.77592,-122.390065
"1150 25th St",37.752849,-122.390043
"1164 Evans Ave",37.7385,-122.379847
"1212 24th St",37.764799,-122.48214
"1255 Columbus Ave",37.805419,-122.417854
"1413 Folsom St",37.772469,-122.412641
"1501 15th St",37.766546,-122.417782
"159 Erie St",37.768839,-122.419127
"1619 Franklin St",37.789359,-122.423895
"1875 Alemany Blvd",37.722132,-122.437732
"191 Jennings St",37.739176,-122.37721
"200 Vallejo St",37.79968,-122.401151
"201 Jennings St",37.738899,-122.377459
"235 Kansas St",37.766793,-122.403267
"2372 Green St",37.795961,-122.43793
"240 05th St",37.780788,-122.404275
"251 Cargo Way",37.745231,-122.384721
"253 Cargo Way",37.745404,-122.385074
"2540 Lombard St",37.799118,-122.443218
"2699 03rd St",37.755609,-122.387523
"2822 Pine St",37.786997,-122.442227
"2850 Alemany Blvd",37.712698,-122.451332
"314 Randolph St",37.714442,-122.465304
"3236 24th St",37.75248,-122.416902
"3244 24th St",37.752471,-122.417056
"3250 Mission St",37.744748,-122.420504
"3270 17th St",37.763624,-122.418761
"34 Mary St",37.781367,-122.406557
"340 05th St",37.779566,-122.402748
"340 Townsend St",37.776438,-122.395923
"3435 Cesar Chavez St",37.747838,-122.418798
"355 Brannan St",37.780687,-122.392926
"360 Spear St",37.78915,-122.390056
"380 Fremont St",37.786877,-122.392428
"385 Brannan St",37.780208,-122.393532
"390 Turk St",37.782775,-122.415274
"40 Zeno St",37.787837,-122.393052
"420 Harrison St",37.78668,-122.392279
"440 Spear St",37.788251,-122.388929
"501 02nd St",37.78315,-122.393212
"511 Harrison St",37.785629,-122.392874
"515 Folsom St",37.786657,-122.394675
"528 03rd St",37.780688,-122.395285
"57 Zoe St",37.779916,-122.395584
"5315 Mission St",37.714248,-122.44242
"540 Eddy St",37.783584,-122.416435
"577 02nd St",37.782329,-122.392185
"581 Mcallister St",37.779689,-122.421256
"585 Harrison St",37.784397,-122.394434
"590 15th St",37.767309,-122.406346
"594 Hayes St",37.776649,-122.425883
"600 Bryant St",37.779488,-122.398277
"6215 03rd St",37.72206,-122.395235
"624 04th St",37.77782,-122.396131
"625 Harrison St",37.783612,-122.395427
"640 03rd St",37.779369,-122.393633
"640 Bryant St",37.778911,-122.399007
"660 03rd St",37.779167,-122.39338
"719 Taylor St",37.788957,-122.411999
"732 Geary St",37.7866,-122.415251
"751 Valencia St",37.760748,-122.421045
"764 Bryant St",37.776843,-122.401625
"801 23rd St",37.754892,-122.388135
"809 Franklin St",37.78177,-122.422361
"828 Brannan St",37.772573,-122.403927
"910 Minna St",37.774641,-122.415736
"920 Howard St",37.781204,-122.405424
"931 Mission St",37.781791,-122.407054
"937 Ofarrell St",37.784627,-122.419965
"942 Avalon Ave",37.724432,-122.424151
"45 Harriet St",37.778848,-122.406609
"702 York St",37.760328,-122.409086
"100 North Point St",37.807264,-122.409032
"2899 Taylor St",37.809485,-122.416793
"2277 Shafter Ave",37.738034,-122.4034
"1943 Carroll Ave",37.728547,-122.399517
